primaryTitle,authorName,contentType,status,tags,totalChapters,currentChapterNumber,currentChapterLabel,rating,priority,description,notes,rawImportedLine
I'm Just a Side Character in a Dating Simulation,,Manga,Reading,,,46,,,,,,443. I'm Just a Side Character in a Dating Simulation 46
I'm Really Not the Demon God's Lackey,,Manga,Reading,,,58,,8,,,,468. I'm Really Not the Demon God's Lackey 58 💯
"I'm standing on 1,000,000,000 Lives",,Manga,Reading,,,19,,,,,,"20.I'm standing on 1,000,000,000 Lives 19"
I'm the Evil Lord of an Intergalactic Empire!,,Novel,Reading,,,60,,,,,,1.9.I'm the Evil Lord of an Intergalactic Empire! 60
I've been Reincarnated as Villainess Older Brother,,Novel,Reading,,,16,,,,,,1.71. I've been Reincarnated as Villainess Older Brother 16
"I, The Strongest Demon, Have Regained My Youth?!",,Manga,Reading,,,47,,,,,,"388. I, The Strongest Demon, Have Regained My Youth?! 47"
Ijousha no Ai,,Manga,Reading,,,44,,,1,,,278.Ijousha no Ai 44 ~? 🌟
Imadoki no Wakai Mon wa,,Manga,Completed,,,10,,,,,"chyba skonczone
release_frequency=~1x?",150.Imadoki no Wakai Mon wa 10 ✓?  ~1x?
Immortal,,Novel,Reading,,,240,v4c76,,,,,1.62. Immortal v4c76 (240)
Immortal Becomes a Stay-at-home Dad After Return,,Novel,Reading,,,209,,,,,,1.22.Immortal Becomes a Stay-at-home Dad After Return 209
Immortal Demon Dad,,Manga,Reading,,,30,,,,,,306. Immortal Demon Dad 30
Immortal Nanny Dad,,Manga,Reading,,,100,,,,,,304. Immortal Nanny Dad 100
Immortal Only Accepts Female Disciples,,Novel,Reading,,,402,,,,,,1.83. Immortal Only Accepts Female Disciples 402
Immortal Reverence Dad,,Manga,Reading,,,97,,,,,,353. Immortal Reverence Dad 97
Immortal Swordsman in the Reverse World,,Manga,Reading,,,113,,,,,,301. Immortal Swordsman in the Reverse World 113
In At The Deep End,,Manhwa,Reading,h-manhwa,,31,,,,,,1.1.30 In At The Deep End 31
Incompatible Interspecies Wives,,Novel,Completed,,,225,,8,1,,chyba skonczone,1.147. Incompatible Interspecies Wives 225 ✓? 💯 ⭐
Incompetent Villain,,Manga,Reading,,,14,,,,,,349. Incompetent Villain 14
Infection,,Manga,Reading,,,60,64,,2,,release_frequency=~24,178.Infection 60 (64) ~24 🌟 🌟
Infinite Apostles And Twelve War Girls,,Manga,Reading,,,106,,,,,,343. Infinite Apostles And Twelve War Girls 106
Inside An Adult Game As A Former Hero,,Novel,Reading,,,256,128.1,,,,,1.145. Inside An Adult Game As A Former Hero 128.1 (256)
Interviews with Monster Girls,,Manga,Reading,,,47,43.5,,,,release_frequency=~36,75.Interviews with Monster Girls 43.5 (47) ~36
Into the Net!,,Manga,Reading,,,44,,,1,,release_frequency=~12,203.Into the Net! 44 ~12 🌟
"Investing in the Reborn Empress, She Actually Calls Me ‘Husband’",,Novel,Reading,,,490,,,,,,"1.210. Investing in the Reborn Empress, She Actually Calls Me ‘Husband’ 490"
Invicible at the start,,Manga,Reading,,,51,,,,,,515. Invicible at the start 51
Iron Ladies,,Manga,Reading,,,321,,,1,,release_frequency=~2,86.Iron Ladies 321 ~2 🌟
Isaac,,Novel,Completed,,,214,,,1,,,1.153. Isaac 214 ✓ ⭐
